Created Time,Site,Partner Domain,OriginCity,DestinationCity,JourneyType,Out Date,Return Date,Num Adt,Num Cnn,Num Inf,Cabin Classes,Total Stops,ID,MarketingCarriers,Sessions ID,ID,Num Orders
2025-09-09 10:38:07,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495705652,0
2025-09-09 10:38:06,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495433999,0
2025-09-09 10:38:04,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495472643,0
2025-09-09 10:38:03,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495638228,0
2025-09-09 10:38:02,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495739070,0
2025-09-09 10:38:00,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495703623,0
2025-09-09 10:37:59,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495590339,0
2025-09-09 10:37:57,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495442803,0
2025-09-09 10:37:56,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495743053,0
2025-09-09 10:37:55,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495591493,0
2025-09-09 10:37:53,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495643282,0
2025-09-09 10:37:52,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495451611,0
